kod_stacji,nazwa_stacji,lon,lat,temperatura_gruntu,temperatura_gruntu_data,wiatr_kierunek,wiatr_kierunek_data,wiatr_srednia_predkosc,wiatr_srednia_predkosc_data,wiatr_predkosc_maksymalna,wiatr_predkosc_maksymalna_data,wilgotnosc_wzgledna,wilgotnosc_wzgledna_data,wiatr_poryw_10min,wiatr_poryw_10min_data,opad_10min,opad_10min_data
353140200,ŚWINOUJŚCIE,14.242222,53.923333,-3.1,2025-02-19 21:50:00,168,2025-02-19 21:50:00,3.7,2025-02-19 21:50:00,7.0,2025-02-19 21:50:00,96,2025-02-19 21:50:00,,,0.0,2025-02-19 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,3.7,2025-02-28 13:50:00,18,2025-02-28 13:50:00,6.1,2025-02-28 13:50:00,6.8,2025-02-28 13:50:00,97,2025-02-28 13:50:00,,,0.0,2025-02-28 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,-0.8,2025-02-21 05:50:00,172,2025-02-21 05:50:00,5.9,2025-02-21 05:50:00,10.0,2025-02-21 05:50:00,69,2025-02-21 05:50:00,,,0.0,2025-02-21 05:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-28 21:50:00,351,2025-02-28 21:50:00,5.2,2025-02-28 21:50:00,6.1,2025-02-28 21:50:00,95,2025-02-28 21:50:00,,,0.0,2025-02-28 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,3.3,2025-02-27 21:50:00,326,2025-02-27 21:50:00,1.2,2025-02-27 21:50:00,3.2,2025-02-27 21:50:00,97,2025-02-27 21:50:00,,,0.0,2025-02-27 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-14 18:20:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,12.2,2025-02-25 13:50:00,223,2025-02-25 13:50:00,1.7,2025-02-25 13:50:00,4.1,2025-02-25 13:50:00,84,2025-02-25 13:50:00,,,0.0,2025-02-25 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-16 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-17 05:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,7.3,2025-02-26 13:50:00,168,2025-02-26 13:50:00,1.1,2025-02-26 13:50:00,2.6,2025-02-26 13:50:00,97,2025-02-26 13:50:00,,,0.0,2025-02-26 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,7.8,2025-02-22 13:50:00,170,2025-02-22 13:50:00,6.0,2025-02-22 13:50:00,10.3,2025-02-22 13:50:00,52,2025-02-22 13:50:00,,,0.0,2025-02-22 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,-0.4,2025-02-24 05:50:00,182,2025-02-24 05:50:00,4.5,2025-02-24 05:50:00,7.3,2025-02-24 05:50:00,97,2025-02-24 05:50:00,,,0.0,2025-02-24 05:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,3.6,2025-02-25 21:50:00,184,2025-02-25 21:50:00,3.1,2025-02-25 21:50:00,4.5,2025-02-25 21:50:00,97,2025-02-25 21:50:00,,,0.0,2025-02-25 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,1.7,2025-02-23 05:50:00,195,2025-02-23 05:50:00,3.2,2025-02-23 05:50:00,5.5,2025-02-23 05:50:00,79,2025-02-23 05:50:00,,,0.0,2025-02-23 05:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,1.0,2025-02-18 13:50:00,289,2025-02-18 13:50:00,2.5,2025-02-18 13:50:00,4.6,2025-02-18 13:50:00,69,2025-02-18 13:50:00,,,0.0,2025-02-18 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.7,2025-02-28 05:50:00,329,2025-02-28 05:50:00,3.0,2025-02-28 05:50:00,3.5,2025-02-28 05:50:00,97,2025-02-28 05:50:00,,,0.0,2025-02-28 05:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,-0.4,2025-02-19 13:50:00,174,2025-02-19 13:50:00,2.5,2025-02-19 13:50:00,4.3,2025-02-19 13:50:00,92,2025-02-19 13:50:00,,,0.0,2025-02-19 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,-5.0,2025-02-18 21:50:00,263,2025-02-18 21:50:00,1.4,2025-02-18 21:50:00,3.2,2025-02-18 21:50:00,85,2025-02-18 21:50:00,,,0.0,2025-02-18 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.7,2025-02-20 13:50:00,158,2025-02-20 13:50:00,5.3,2025-02-20 13:50:00,10.8,2025-02-20 13:50:00,51,2025-02-20 13:50:00,,,0.0,2025-02-20 13:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-17 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,5.5,2025-02-24 21:50:00,155,2025-02-24 21:50:00,2.4,2025-02-24 21:50:00,5.4,2025-02-24 21:50:00,91,2025-02-24 21:50:00,,,0.1,2025-02-24 21:50:00
353140200,ŚWINOUJŚCIE,14.242222,53.923333,2.5,2025-02-14 12:20:00,33,2025-02-14 12:20:00,8.0,2025-02-14 12:20:00,9.3,2025-02-14 12:20:00,70,2025-02-14 12:20:00,,,0.0,2025-02-17 13:50:00
