id_stacji,stacja,rzeka,województwo,stan_wody,stan_wody_data_pomiaru,temperatura_wody,temperatura_wody_data_pomiaru,zjawisko_lodowe,zjawisko_lodowe_data_pomiaru,zjawisko_zarastania,zjawisko_zarastania_data_pomiaru
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,500,2025-03-06 21:10:00,3.6,2025-03-06 21:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,488,2025-03-25 21:10:00,7.3,2025-03-25 21:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,504,2025-03-29 06:10:00,6.3,2025-03-29 06:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,512,2025-03-22 06:10:00,4.9,2025-03-22 06:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,513,2025-03-14 06:10:00,4.6,2025-03-14 06:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,509,2025-03-15 13:10:00,5.1,2025-03-15 13:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,506,2025-03-01 06:10:00,2.5,2025-03-01 06:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,505,2025-03-29 21:10:00,6.4,2025-03-29 21:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,490,2025-03-16 06:10:00,5.4,2025-03-16 06:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,536,2025-03-16 21:10:00,4.6,2025-03-16 21:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,489,2025-03-03 06:10:00,2.5,2025-03-03 06:10:00,0,2024-01-21 06:00:00,,
153140010,Świnoujście,Zatoka Pomorska (ujście Świny),zachodniopomorskie,498,2025-03-20 21:10:00,5.1,2025-03-20 21:10:00,0,2024-01-21 06:00:00,,
