kod_stacji,nazwa_stacji,lon,lat,stan,stan_data,przelyw,przeplyw_data
153140010,ŚWINOUJŚCIE,14.264444,53.908333,515,2025-03-30 21:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,506,2025-03-26 13:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,513,2025-03-16 13:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,528,2025-03-10 13:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,502,2025-03-06 21:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,514,2025-03-15 05:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,488,2025-03-06 05:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,518,2025-03-13 05:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,502,2025-03-24 13:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,501,2025-03-20 05:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,516,2025-03-07 13:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,494,2025-03-27 13:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,515,2025-03-14 05:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,514,2025-03-07 21:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,534,2025-03-10 21:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,517,2025-03-23 21:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,482,2025-03-05 21:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,483,2025-03-04 05:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,482,2025-03-05 05:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,496,2025-03-28 13:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,489,2025-03-02 21:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,484,2025-03-03 13:50:00,,
153140010,ŚWINOUJŚCIE,14.264444,53.908333,497,2025-03-24 21:50:00,,
